date,maxtemp,mintemp,weather_rain,weather_snow,weather_sun
20000529,26.7,16.3,0.05,,0.7
20000530,19.0,15.0,0.0,,11.3
20000531,17.9,14.6,0.09,,0.6
20000601,21.0,16.0,0.0,,11.1
20000602,23.5,17.7,0.0,,13.0
20000603,27.7,20.7,0.0,,12.6
20000604,30.0,23.1,0.0,,13.6
20000605,31.5,25.1,0.0,,13.3
20000606,31.3,25.2,0.0,,12.3
20000607,27.4,18.8,0.0,,6.1
20000608,24.1,18.7,0.0,,14.1
20000609,28.8,21.7,0.0,,13.9
20000610,30.3,24.2,0.0,,13.7
20000611,32.2,26.3,0.0,,13.3
20000612,33.3,27.5,0.0,,13.4
20000613,34.3,28.2,0.0,,10.0
20000614,34.9,28.8,0.0,,9.8
20000615,31.6,24.2,0.0,,11.5
20000616,24.4,18.1,0.0,,12.3
20000617,19.0,15.4,0.0,,9.6
20000618,21.9,17.8,0.0,,13.0
20000619,25.2,19.5,0.0,,13.5
20000620,30.5,23.9,0.0,,13.5
20000621,33.4,26.3,0.0,,14.2
20000622,35.2,29.0,0.0,,14.3
20000623,34.2,27.2,0.0,,12.9
20000624,25.9,21.7,0.21,,8.8
20000625,23.0,16.2,0.26,,0.9
20000626,22.0,16.7,0.0,,12.3
20000627,20.0,16.1,0.0,,12.6
20000628,23.4,18.4,0.0,,10.9
20000629,23.0,19.4,0.0,,12.7
20000630,23.2,18.7,0.28,,11.2
20000701,28.6,21.9,0.0,,10.5
20000702,30.0,25.0,0.0,,10.0
20000703,33.0,26.1,0.2,,11.2
20000704,33.5,26.2,0.0,,7.3
20000705,27.3,23.3,0.0,,9.2
20000706,27.7,23.8,0.0,,11.9
20000707,30.1,23.7,0.15,,7.5
20000708,29.2,21.4,0.02,,7.9
20000709,23.5,14.2,0.24,,1.9
20000710,26.5,20.1,0.0,,12.8
20000711,26.6,20.4,0.27,,2.4
20000712,21.0,17.3,0.12,,8.3
20000713,20.9,17.0,0.0,,8.7
20000714,22.6,17.7,0.06,,7.1
20000715,20.3,15.1,1.89,,0.0
20000716,15.4,14.0,0.0,,0.3
20000717,18.6,16.0,0.0,,2.9
20000718,22.4,17.2,0.0,,4.2
20000719,22.9,19.0,0.0,,8.9
20000720,22.0,18.0,0.0,,11.5
20000721,23.9,19.3,0.0,,11.6
20000722,23.8,19.8,0.0,,6.2
20000723,28.0,21.7,0.0,,9.1
20000724,28.3,22.5,0.0,,5.3
20000725,29.4,24.8,0.0,,9.2
20000726,30.9,22.8,0.0,,6.3
20000727,25.6,21.8,0.0,,11.9
20000728,27.9,21.6,1.39,,5.0
20000729,22.6,18.4,0.0,,7.6
20000730,23.2,19.2,0.0,,9.1
20000731,24.6,19.8,0.0,,10.0
20000801,26.6,21.0,0.0,,12.2
20000802,29.7,23.3,0.0,,12.8
20000803,28.8,24.1,0.0,,7.5
20000804,27.9,23.3,0.0,,10.7
20000805,25.9,22.5,0.0,,5.0
20000806,31.1,24.4,0.2,,7.1
20000807,26.3,21.3,0.0,,6.1
20000808,25.1,21.1,0.0,,12.1
20000809,27.0,21.8,0.0,,7.1
20000810,28.3,22.7,0.0,,10.4
20000811,29.1,23.7,0.0,,8.9
20000812,33.7,25.6,0.0,,10.4
20000813,32.9,27.0,0.0,,10.6
20000814,30.6,25.6,0.0,,5.6
20000815,31.2,25.4,0.0,,11.0
20000816,33.3,26.0,0.0,,11.1
20000817,33.6,27.7,0.0,,10.6
20000818,35.1,29.0,0.0,,11.7
20000819,36.7,29.5,0.0,,11.2
20000820,36.9,29.3,0.0,,11.5
20000821,36.4,29.1,0.0,,11.4
20000822,31.6,26.6,0.0,,11.1
20000823,31.7,25.2,0.0,,11.1
20000824,27.1,21.4,0.0,,11.2
20000825,24.3,20.9,0.0,,10.1
20000826,23.1,18.5,0.0,,10.6
20000827,23.7,19.2,0.0,,10.6
20000828,25.3,20.2,0.0,,7.8
20000829,27.4,21.1,0.0,,6.5
20000830,27.4,21.7,0.05,,10.0
20000831,23.3,18.4,0.16,,0.0
20000901,21.2,17.9,0.26,,2.0
20000902,25.0,18.3,0.74,,7.7
20000903,21.4,17.3,0.0,,9.4
20000904,21.0,16.8,0.0,,7.2
20000905,18.6,14.8,0.0,,8.6
20000906,19.2,14.7,0.0,,10.0
20000907,16.1,12.4,0.15,,0.0
